Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=827.326 admission_calls=206 admission_ms=787.549 assert_traps=101 full_calls=105 full_ns=787546423 reuse_calls=101 reuse_ns=2912 admission_ns=787549335 leave fn=609 pc=156405 name=$shadow_46_write
[shadow-progress] elapsed_ms=827.329 admission_calls=206 admission_ms=787.549 assert_traps=101 full_calls=105 full_ns=787546423 reuse_calls=101 reuse_ns=2912 admission_ns=787549335 enter fn=610 pc=156532 name=$shadow_47_append
[shadow-progress] elapsed_ms=878.298 admission_calls=218 admission_ms=832.687 assert_traps=107 full_calls=111 full_ns=832684162 reuse_calls=107 reuse_ns=3088 admission_ns=832687250 leave fn=610 pc=156532 name=$shadow_47_append
[shadow-progress] elapsed_ms=878.301 admission_calls=218 admission_ms=832.687 assert_traps=107 full_calls=111 full_ns=832684162 reuse_calls=107 reuse_ns=3088 admission_ns=832687250 enter fn=611 pc=156683 name=$shadow_48_exists
[shadow-progress] elapsed_ms=937.424 admission_calls=232 admission_ms=885.140 assert_traps=114 full_calls=118 full_ns=885136664 reuse_calls=114 reuse_ns=3264 admission_ns=885139928 leave fn=611 pc=156683 name=$shadow_48_exists
[shadow-progress] elapsed_ms=937.427 admission_calls=232 admission_ms=885.140 assert_traps=114 full_calls=118 full_ns=885136664 reuse_calls=114 reuse_ns=3264 admission_ns=885139928 enter fn=612 pc=156824 name=$shadow_49_delete
[shadow-progress] elapsed_ms=987.697 admission_calls=244 admission_ms=930.070 assert_traps=120 full_calls=124 full_ns=930066850 reuse_calls=120 reuse_ns=3424 admission_ns=930070274 leave fn=612 pc=156824 name=$shadow_49_delete
[shadow-progress] elapsed_ms=987.700 admission_calls=244 admission_ms=930.070 assert_traps=120 full_calls=124 full_ns=930066850 reuse_calls=120 reuse_ns=3424 admission_ns=930070274 enter fn=613 pc=156955 name=$shadow_50_mkdir_p
[shadow-progress] elapsed_ms=1046.811 admission_calls=258 admission_ms=982.486 assert_traps=127 full_calls=131 full_ns=982482490 reuse_calls=127 reuse_ns=3600 admission_ns=982486090 leave fn=613 pc=156955 name=$shadow_50_mkdir_p
[shadow-progress] elapsed_ms=1046.814 admission_calls=258 admission_ms=982.486 assert_traps=127 full_calls=131 full_ns=982482490 reuse_calls=127 reuse_ns=3600 admission_ns=982486090 enter fn=614 pc=157115 name=$shadow_51_copy_file
[shadow-progress] elapsed_ms=1105.968 admission_calls=272 admission_ms=1034.943 assert_traps=134 full_calls=138 full_ns=1034939327 reuse_calls=134 reuse_ns=3792 admission_ns=1034943119 leave fn=614 pc=157115 name=$shadow_51_copy_file
[shadow-progress] elapsed_ms=1105.972 admission_calls=272 admission_ms=1034.943 assert_traps=134 full_calls=138 full_ns=1034939327 reuse_calls=134 reuse_ns=3792 admission_ns=1034943119 enter fn=615 pc=157295 name=$shadow_52_copy_dir
